cleaned_comment,slang_replaced_comment,tekonized_comment,no_stopwords_comment,stemmed_comment
lah kalo bener tekanan itu datang dari jokowi cs ga manuk akal juga karena dia juga ga punya parpol,lah kalau benar tekanan itu datang dari jokowi cs tidak manuk akal juga karena dia juga tidak punya parpol,"['lah', 'kalau', 'benar', 'tekanan', 'itu', 'datang', 'dari', 'jokowi', 'cs', 'tidak', 'manuk', 'akal', 'juga', 'karena', 'dia', 'juga', 'tidak', 'punya', 'parpol']","['lah', 'kalau', 'benar', 'tekanan', 'datang', 'jokowi', 'cs', 'tidak', 'manuk', 'akal', 'tidak', 'punya', 'parpol']","['lah', 'kalau', 'benar', 'tekan', 'datang', 'jokowi', 'cs', 'tidak', 'manuk', 'akal', 'tidak', 'punya', 'parpol']"
luhut ni menghambat indo maju aja woe ,luhut ini menghambat indonesia maju saja woe,"['luhut', 'ini', 'menghambat', 'indonesia', 'maju', 'saja', 'woe']","['luhut', 'menghambat', 'indonesia', 'maju', 'woe']","['luhut', 'hambat', 'indonesia', 'maju', 'woe']"
dan ryt tahu siapa yg plg bertangung jawab jk itu terjadi,dan ryt tahu siapa yang plg bertangung jawab gurau itu terjadi,"['dan', 'ryt', 'tahu', 'siapa', 'yang', 'plg', 'bertangung', 'jawab', 'gurau', 'itu', 'terjadi']","['ryt', 'tahu', 'siapa', 'plg', 'bertangung', 'jawab', 'gurau', 'terjadi']","['ryt', 'tahu', 'siapa', 'plg', 'bertangung', 'jawab', 'gurau', 'jadi']"
heran gw mah giliran ada yang bener reshufle ni negara emang ga bakal maju begini terus aja kelakuanampun dah,heran aku mah giliran ada yang benar reshufle ini negara memang tidak akan maju begini terus saja kelakuanampun sudah,"['heran', 'aku', 'mah', 'giliran', 'ada', 'yang', 'benar', 'reshufle', 'ini', 'negara', 'memang', 'tidak', 'akan', 'maju', 'begini', 'terus', 'saja', 'kelakuanampun', 'sudah']","['heran', 'aku', 'mah', 'giliran', 'benar', 'reshufle', 'negara', 'memang', 'tidak', 'maju', 'begini', 'terus', 'kelakuanampun']","['heran', 'aku', 'mah', 'gilir', 'benar', 'reshufle', 'negara', 'memang', 'tidak', 'maju', 'begini', 'terus', 'kelakuanampun']"
kalau sampai itu terjadi ryt akan semakin bersatu menghadapinya kt lihat sj,kalau sampai itu terjadi ryt akan semakin bersatu menghadapinya kt lihat sj,"['kalau', 'sampai', 'itu', 'terjadi', 'ryt', 'akan', 'semakin', 'bersatu', 'menghadapinya', 'kt', 'lihat', 'sj']","['kalau', 'terjadi', 'ryt', 'semakin', 'bersatu', 'menghadapinya', 'kt', 'lihat', 'sj']","['kalau', 'jadi', 'ryt', 'makin', 'satu', 'hadap', 'kt', 'lihat', 'sj']"
jangan sampai di reshufle,jangan sampai di reshufle,"['jangan', 'sampai', 'di', 'reshufle']","['jangan', 'reshufle']","['jangan', 'reshufle']"
ya di reshufle balik ma rakyatmereka yg mau menjegal pak pur,ya di reshufle balik ma rakyatmereka yang mau menjegal bapak pur,"['ya', 'di', 'reshufle', 'balik', 'ma', 'rakyatmereka', 'yang', 'mau', 'menjegal', 'bapak', 'pur']","['reshufle', 'balik', 'ma', 'rakyatmereka', 'mau', 'menjegal', 'bapak', 'pur']","['reshufle', 'balik', 'ma', 'rakyatmereka', 'mau', 'jegal', 'bapak', 'pur']"
kami bersama pak purbaya,kami bersama bapak purbaya,"['kami', 'bersama', 'bapak', 'purbaya']","['bersama', 'bapak', 'purbaya']","['sama', 'bapak', 'purbaya']"
luhut itu pensiunkanotak nya jokowi itu,luhut itu pensiunkanotak nya jokowi itu,"['luhut', 'itu', 'pensiunkanotak', 'nya', 'jokowi', 'itu']","['luhut', 'pensiunkanotak', 'nya', 'jokowi']","['luhut', 'pensiunkanotak', 'nya', 'jokowi']"
demo lg aja,demo lagi saja,"['demo', 'lagi', 'saja']",['demo'],['demo']
reshufle karena ga kerja reshufle karena banyak yang keancam proyeknya dagelan mulu ah,reshufle karena tidak kerja reshufle karena banyak yang keancam proyeknya dagelan selalu ah,"['reshufle', 'karena', 'tidak', 'kerja', 'reshufle', 'karena', 'banyak', 'yang', 'keancam', 'proyeknya', 'dagelan', 'selalu', 'ah']","['reshufle', 'tidak', 'kerja', 'reshufle', 'banyak', 'keancam', 'proyeknya', 'dagelan', 'selalu', 'ah']","['reshufle', 'tidak', 'kerja', 'reshufle', 'banyak', 'ancam', 'proyek', 'dagel', 'selalu', 'ah']"
knp gk si lumut mn uang d pke sama ponakanya ,kenapa tidak si lumut mn uang di pke sama ponakanya,"['kenapa', 'tidak', 'si', 'lumut', 'mn', 'uang', 'di', 'pke', 'sama', 'ponakanya']","['tidak', 'si', 'lumut', 'mn', 'uang', 'pke', 'sama', 'ponakanya']","['tidak', 'si', 'lumut', 'mn', 'uang', 'pke', 'sama', 'ponakanya']"
kalau sampe di copot berarti ,kalau sampai di copot berarti,"['kalau', 'sampai', 'di', 'copot', 'berarti']","['kalau', 'copot', 'berarti']","['kalau', 'copot', 'arti']"
luhut ini kan dulu sakit keras kenapa pake sembuh sih ,luhut ini kan dulu sakit keras kenapa pakai sembuh sih,"['luhut', 'ini', 'kan', 'dulu', 'sakit', 'keras', 'kenapa', 'pakai', 'sembuh', 'sih']","['luhut', 'kan', 'dulu', 'sakit', 'keras', 'pakai', 'sembuh', 'sih']","['luhut', 'kan', 'dulu', 'sakit', 'keras', 'pakai', 'sembuh', 'sih']"
hahahaha siapa yang akan menjadi bahan bakar neraka jahanam menurut alquran jawab sendiri aja deh,hahahaha siapa yang akan menjadi bahan bakar neraka jahanam menurut alquran jawab sendiri saja deh,"['hahahaha', 'siapa', 'yang', 'akan', 'menjadi', 'bahan', 'bakar', 'neraka', 'jahanam', 'menurut', 'alquran', 'jawab', 'sendiri', 'saja', 'deh']","['hahahaha', 'siapa', 'menjadi', 'bahan', 'bakar', 'neraka', 'jahanam', 'alquran', 'jawab', 'sendiri', 'deh']","['hahahaha', 'siapa', 'jadi', 'bahan', 'bakar', 'neraka', 'jahanam', 'alquran', 'jawab', 'sendiri', 'deh']"
semua gara joko,semua gara joko,"['semua', 'gara', 'joko']","['semua', 'gara', 'joko']","['semua', 'gara', 'joko']"
demo nepalkan pejabat yg korup ,demo nepalkan pejabat yang korup,"['demo', 'nepalkan', 'pejabat', 'yang', 'korup']","['demo', 'nepalkan', 'pejabat', 'korup']","['demo', 'nepalkan', 'jabat', 'korup']"
kalau purbaya direshufle kita bubar aja jadi negara percuma,kalau purbaya direshufle kita bubar saja jadi negara percuma,"['kalau', 'purbaya', 'direshufle', 'kita', 'bubar', 'saja', 'jadi', 'negara', 'percuma']","['kalau', 'purbaya', 'direshufle', 'bubar', 'jadi', 'negara', 'percuma']","['kalau', 'purbaya', 'direshufle', 'bubar', 'jadi', 'negara', 'percuma']"
bahlil aja yg di reshufle,bahlil saja yang di reshufle,"['bahlil', 'saja', 'yang', 'di', 'reshufle']","['bahlil', 'reshufle']","['bahlil', 'reshufle']"
p luhut p bahlil aja yg di reshufle beliau berdua lgsg dipangil ke akhirat pun saya ikhlas ya alah,p luhut p bahlil saja yang di reshufle beliau berdua langsung dipangil ke akhirat pun aku ikhlas ya alah,"['p', 'luhut', 'p', 'bahlil', 'saja', 'yang', 'di', 'reshufle', 'beliau', 'berdua', 'langsung', 'dipangil', 'ke', 'akhirat', 'pun', 'aku', 'ikhlas', 'ya', 'alah']","['p', 'luhut', 'p', 'bahlil', 'reshufle', 'beliau', 'berdua', 'langsung', 'dipangil', 'akhirat', 'aku', 'ikhlas', 'alah']","['p', 'luhut', 'p', 'bahlil', 'reshufle', 'beliau', 'dua', 'langsung', 'dipangil', 'akhirat', 'aku', 'ikhlas', 'alah']"
nilai bagus gini masa terancam reshufle org yg ga keliatan kerja nya kga di reshufle,nilai bagus gini masa terancam reshufle orang yang tidak keliatan kerja nya kga di reshufle,"['nilai', 'bagus', 'gini', 'masa', 'terancam', 'reshufle', 'orang', 'yang', 'tidak', 'keliatan', 'kerja', 'nya', 'kga', 'di', 'reshufle']","['nilai', 'bagus', 'gini', 'masa', 'terancam', 'reshufle', 'orang', 'tidak', 'keliatan', 'kerja', 'nya', 'kga', 'reshufle']","['nilai', 'bagus', 'gin', 'masa', 'ancam', 'reshufle', 'orang', 'tidak', 'liat', 'kerja', 'nya', 'kga', 'reshufle']"
