cleaned_comment,slang_replaced_comment,tekonized_comment,no_stopwords_comment,stemmed_comment
 bu butidak ada yg membangakan darimu,ibu butidak ada yang membangakan darimu,"['ibu', 'butidak', 'ada', 'yang', 'membangakan', 'darimu']","['ibu', 'butidak', 'membangakan', 'darimu']","['ibu', 'butidak', 'membangakan', 'dari']"
dia mati skalian pun gw gak peduli,dia mati skalian pun aku tidak peduli,"['dia', 'mati', 'skalian', 'pun', 'aku', 'tidak', 'peduli']","['mati', 'skalian', 'aku', 'tidak', 'peduli']","['mati', 'skalian', 'aku', 'tidak', 'peduli']"
mentri hanya menyusahkan rakyat,mentri hanya menyusahkan rakyat,"['mentri', 'hanya', 'menyusahkan', 'rakyat']","['mentri', 'menyusahkan', 'rakyat']","['tri', 'susah', 'rakyat']"
pemalak pensiun,pemalak pensiun,"['pemalak', 'pensiun']","['pemalak', 'pensiun']","['malak', 'pensiun']"
wah jogja :,wah jogja :,"['wah', 'jogja', ':']","['wah', 'jogja', ':']","['wah', 'jogja', '']"
ratu pajak tersadis,ratu pajak tersadis,"['ratu', 'pajak', 'tersadis']","['ratu', 'pajak', 'tersadis']","['ratu', 'pajak', 'sad']"
knp gk dr dlu sri luh pensiun,kenapa tidak dari dulu sri luh pensiun,"['kenapa', 'tidak', 'dari', 'dulu', 'sri', 'luh', 'pensiun']","['tidak', 'dulu', 'sri', 'luh', 'pensiun']","['tidak', 'dulu', 'sri', 'luh', 'pensiun']"
si paling terbaikfaktanya suka naikin pajak,si paling terbaikfaktanya suka naikin pajak,"['si', 'paling', 'terbaikfaktanya', 'suka', 'naikin', 'pajak']","['si', 'paling', 'terbaikfaktanya', 'suka', 'naikin', 'pajak']","['si', 'paling', 'terbaikfaktanya', 'suka', 'naikin', 'pajak']"
ratu pajak dan sales world bank lagi nikmatin hasil keruk pajak,ratu pajak dan sales world bank lagi nikmatin hasil keruk pajak,"['ratu', 'pajak', 'dan', 'sales', 'world', 'bank', 'lagi', 'nikmatin', 'hasil', 'keruk', 'pajak']","['ratu', 'pajak', 'sales', 'world', 'bank', 'nikmatin', 'hasil', 'keruk', 'pajak']","['ratu', 'pajak', 'sales', 'world', 'bank', 'nikmatin', 'hasil', 'keruk', 'pajak']"
yogja apa mau ke solo kangen ya ,yogja apa mau ke solo kangen ya,"['yogja', 'apa', 'mau', 'ke', 'solo', 'kangen', 'ya']","['yogja', 'apa', 'mau', 'solo', 'kangen']","['yogja', 'apa', 'mau', 'solo', 'kangen']"
salah satu wajah penghuni neraka jahanam,salah satu wajah penghuni neraka jahanam,"['salah', 'satu', 'wajah', 'penghuni', 'neraka', 'jahanam']","['salah', 'satu', 'wajah', 'penghuni', 'neraka', 'jahanam']","['salah', 'satu', 'wajah', 'huni', 'neraka', 'jahanam']"
kirain pakai kaos kpk,kirain pakai kaos kpk,"['kirain', 'pakai', 'kaos', 'kpk']","['kirain', 'pakai', 'kaos', 'kpk']","['kirain', 'pakai', 'kaos', 'kpk']"
temanya hotman paris dan konglomerat lain nya,temanya hotman paris dan konglomerat lain nya,"['temanya', 'hotman', 'paris', 'dan', 'konglomerat', 'lain', 'nya']","['temanya', 'hotman', 'paris', 'konglomerat', 'nya']","['tema', 'hotman', 'paris', 'konglomerat', 'nya']"
baguslah dipecat sudah bikin ekonomi rusak saja,baguslah dipecat sudah bikin ekonomi rusak saja,"['baguslah', 'dipecat', 'sudah', 'bikin', 'ekonomi', 'rusak', 'saja']","['baguslah', 'dipecat', 'bikin', 'ekonomi', 'rusak']","['bagus', 'pecat', 'bikin', 'ekonomi', 'rusak']"
ouh ini yg nyekik rakyat lewat pajeknya dan nglindungi pejabat dr pajak,ouh ini yang nyekik rakyat lewat pajeknya dan nglindungi pejabat dari pajak,"['ouh', 'ini', 'yang', 'nyekik', 'rakyat', 'lewat', 'pajeknya', 'dan', 'nglindungi', 'pejabat', 'dari', 'pajak']","['ouh', 'nyekik', 'rakyat', 'lewat', 'pajeknya', 'nglindungi', 'pejabat', 'pajak']","['ouh', 'nyekik', 'rakyat', 'lewat', 'pajeknya', 'nglindungi', 'jabat', 'pajak']"
enak lah tabungan udah banyak,enak lah tabungan sudah banyak,"['enak', 'lah', 'tabungan', 'sudah', 'banyak']","['enak', 'lah', 'tabungan', 'banyak']","['enak', 'lah', 'tabung', 'banyak']"
lebih bagusan kinerja pak purbaya,lebih bagusan kinerja bapak purbaya,"['lebih', 'bagusan', 'kinerja', 'bapak', 'purbaya']","['lebih', 'bagusan', 'kinerja', 'bapak', 'purbaya']","['lebih', 'bagus', 'kerja', 'bapak', 'purbaya']"
ningalin hutang segunung ,ningalin hutang segunung,"['ningalin', 'hutang', 'segunung']","['ningalin', 'hutang', 'segunung']","['ningalin', 'hutang', 'gunung']"
ratu pajak,ratu pajak,"['ratu', 'pajak']","['ratu', 'pajak']","['ratu', 'pajak']"
semua seneng ibu seneng bisa liburan kita lebih seneng punya menkeu baru yg pro rakyat,semua senang ibu senang bisa liburan kita lebih senang punya menkeu baru yang pro rakyat,"['semua', 'senang', 'ibu', 'senang', 'bisa', 'liburan', 'kita', 'lebih', 'senang', 'punya', 'menkeu', 'baru', 'yang', 'pro', 'rakyat']","['semua', 'senang', 'ibu', 'senang', 'liburan', 'lebih', 'senang', 'punya', 'menkeu', 'baru', 'pro', 'rakyat']","['semua', 'senang', 'ibu', 'senang', 'libur', 'lebih', 'senang', 'punya', 'menkeu', 'baru', 'pro', 'rakyat']"
kang palak rakyat,kang palak rakyat,"['kang', 'palak', 'rakyat']","['kang', 'palak', 'rakyat']","['kang', 'palak', 'rakyat']"
siap melukis keren,siap melukis keren,"['siap', 'melukis', 'keren']","['siap', 'melukis', 'keren']","['siap', 'luk', 'keren']"
satnya nikmati hasil h,satnya nikmati hasil h,"['satnya', 'nikmati', 'hasil', 'h']","['satnya', 'nikmati', 'hasil', 'h']","['sat', 'nikmat', 'hasil', 'h']"
ratu pajak pro pejabat sekarang subur uangnya banyak,ratu pajak pro pejabat sekarang subur uangnya banyak,"['ratu', 'pajak', 'pro', 'pejabat', 'sekarang', 'subur', 'uangnya', 'banyak']","['ratu', 'pajak', 'pro', 'pejabat', 'sekarang', 'subur', 'uangnya', 'banyak']","['ratu', 'pajak', 'pro', 'jabat', 'sekarang', 'subur', 'uang', 'banyak']"
harusnya semua pejabat negara sesudah selesai wajib di periksa kpk yoy khans,harusnya semua pejabat negara sesudah selesai wajib di periksa kpk yoy khans,"['harusnya', 'semua', 'pejabat', 'negara', 'sesudah', 'selesai', 'wajib', 'di', 'periksa', 'kpk', 'yoy', 'khans']","['harusnya', 'semua', 'pejabat', 'negara', 'selesai', 'wajib', 'periksa', 'kpk', 'yoy', 'khans']","['harus', 'semua', 'jabat', 'negara', 'selesai', 'wajib', 'periksa', 'kpk', 'yoy', 'khans']"
drama quen sales imf,drama quen sales imf,"['drama', 'quen', 'sales', 'imf']","['drama', 'quen', 'sales', 'imf']","['drama', 'quen', 'sales', 'imf']"
tukang palak,tukang palak,"['tukang', 'palak']","['tukang', 'palak']","['tukang', 'palak']"
ratu pajak rakyat,ratu pajak rakyat,"['ratu', 'pajak', 'rakyat']","['ratu', 'pajak', 'rakyat']","['ratu', 'pajak', 'rakyat']"
kita sibuk cari uang buat bayar hutang negara,kita sibuk cari uang buat bayar hutang negara,"['kita', 'sibuk', 'cari', 'uang', 'buat', 'bayar', 'hutang', 'negara']","['sibuk', 'cari', 'uang', 'buat', 'bayar', 'hutang', 'negara']","['sibuk', 'cari', 'uang', 'buat', 'bayar', 'hutang', 'negara']"
menikmati hasil seumur hidup,menikmati hasil seumur hidup,"['menikmati', 'hasil', 'seumur', 'hidup']","['menikmati', 'hasil', 'seumur', 'hidup']","['nikmat', 'hasil', 'umur', 'hidup']"
agen imf pensiunsiapa oenganti nya ayo temukan,agen imf pensiunsiapa oenganti nya ayo temukan,"['agen', 'imf', 'pensiunsiapa', 'oenganti', 'nya', 'ayo', 'temukan']","['agen', 'imf', 'pensiunsiapa', 'oenganti', 'nya', 'ayo', 'temukan']","['agen', 'imf', 'pensiunsiapa', 'oenganti', 'nya', 'ayo', 'temu']"
cie yg hidupnye meres rakyat lewat pajak lagi liburan smoga berkah ya buk,cie yang hidupnye meres rakyat lewat pajak lagi liburan smoga berkah ya ibu,"['cie', 'yang', 'hidupnye', 'meres', 'rakyat', 'lewat', 'pajak', 'lagi', 'liburan', 'smoga', 'berkah', 'ya', 'ibu']","['cie', 'hidupnye', 'meres', 'rakyat', 'lewat', 'pajak', 'liburan', 'smoga', 'berkah', 'ibu']","['cie', 'hidupnye', 'meres', 'rakyat', 'lewat', 'pajak', 'libur', 'smoga', 'berkah', 'ibu']"
jangan di lepas topi dan hodienya buk nanti warga tau,jangan di lepas topi dan hodienya ibu nanti warga tau,"['jangan', 'di', 'lepas', 'topi', 'dan', 'hodienya', 'ibu', 'nanti', 'warga', 'tau']","['jangan', 'lepas', 'topi', 'hodienya', 'ibu', 'warga', 'tau']","['jangan', 'lepas', 'topi', 'hodienya', 'ibu', 'warga', 'tau']"
ge ngerasa bersalah pula,ge ngerasa bersalah pula,"['ge', 'ngerasa', 'bersalah', 'pula']","['ge', 'ngerasa', 'bersalah']","['ge', 'ngerasa', 'salah']"
mentri kesayangan termul,mentri kesayangan termul,"['mentri', 'kesayangan', 'termul']","['mentri', 'kesayangan', 'termul']","['tri', 'sayang', 'termul']"
terima kasih sdh pangsiun saya lega ibu digantikesanya selama menjabat rakyat susahyg kaya makin kaya,terima kasih sdh pangsiun aku lega ibu digantikesanya selama menjabat rakyat susahyg seperti makin seperti,"['terima', 'kasih', 'sdh', 'pangsiun', 'aku', 'lega', 'ibu', 'digantikesanya', 'selama', 'menjabat', 'rakyat', 'susahyg', 'seperti', 'makin', 'seperti']","['terima', 'kasih', 'sdh', 'pangsiun', 'aku', 'lega', 'ibu', 'digantikesanya', 'selama', 'menjabat', 'rakyat', 'susahyg', 'makin']","['terima', 'kasih', 'sdh', 'pangsiun', 'aku', 'lega', 'ibu', 'digantikesanya', 'lama', 'jabat', 'rakyat', 'susahyg', 'makin']"
uang haram,uang haram,"['uang', 'haram']","['uang', 'haram']","['uang', 'haram']"
kenapa gak di periksa kpk,kenapa tidak di periksa kpk,"['kenapa', 'tidak', 'di', 'periksa', 'kpk']","['tidak', 'periksa', 'kpk']","['tidak', 'periksa', 'kpk']"
males liat orang ini,malas lihat orang ini,"['malas', 'lihat', 'orang', 'ini']","['malas', 'lihat', 'orang']","['malas', 'lihat', 'orang']"
kasihan pensiun mentri saja tdk ada yg ngajak foto ,kasihan pensiun mentri saja tidak ada yang ngajak foto,"['kasihan', 'pensiun', 'mentri', 'saja', 'tidak', 'ada', 'yang', 'ngajak', 'foto']","['kasihan', 'pensiun', 'mentri', 'tidak', 'ngajak', 'foto']","['kasihan', 'pensiun', 'tri', 'tidak', 'ngajak', 'foto']"
ternyata lebih bergunasetelah gak guna,ternyata lebih bergunasetelah tidak guna,"['ternyata', 'lebih', 'bergunasetelah', 'tidak', 'guna']","['ternyata', 'lebih', 'bergunasetelah', 'tidak']","['nyata', 'lebih', 'bergunasetelah', 'tidak']"
gak malu msh di indonesia bu,tidak malu masih di indonesia ibu,"['tidak', 'malu', 'masih', 'di', 'indonesia', 'ibu']","['tidak', 'malu', 'indonesia', 'ibu']","['tidak', 'malu', 'indonesia', 'ibu']"
diva pajak,diva pajak,"['diva', 'pajak']","['diva', 'pajak']","['diva', 'pajak']"
pakai topi biar ngak ketahuan di keramaian ,pakai topi biar tidak ketahuan di keramaian,"['pakai', 'topi', 'biar', 'tidak', 'ketahuan', 'di', 'keramaian']","['pakai', 'topi', 'biar', 'tidak', 'ketahuan', 'keramaian']","['pakai', 'topi', 'biar', 'tidak', 'tahu', 'ramai']"
sdh bayar pajak ta mbak sri ,sdh bayar pajak ta kakak sri,"['sdh', 'bayar', 'pajak', 'ta', 'kakak', 'sri']","['sdh', 'bayar', 'pajak', 'ta', 'kakak', 'sri']","['sdh', 'bayar', 'pajak', 'ta', 'kakak', 'sri']"
pengen bgt ketemu beliau dijalan pen ngludahin mukanya,ingin sekali ketemu beliau dijalan ingin ngludahin mukanya,"['ingin', 'sekali', 'ketemu', 'beliau', 'dijalan', 'ingin', 'ngludahin', 'mukanya']","['sekali', 'ketemu', 'beliau', 'dijalan', 'ngludahin', 'mukanya']","['sekali', 'ketemu', 'beliau', 'jalan', 'ngludahin', 'muka']"
menikmati uang pajak rakyat ,menikmati uang pajak rakyat,"['menikmati', 'uang', 'pajak', 'rakyat']","['menikmati', 'uang', 'pajak', 'rakyat']","['nikmat', 'uang', 'pajak', 'rakyat']"
sales imf,sales imf,"['sales', 'imf']","['sales', 'imf']","['sales', 'imf']"
gk guna gk berjasa,tidak guna tidak berjasa,"['tidak', 'guna', 'tidak', 'berjasa']","['tidak', 'tidak', 'berjasa']","['tidak', 'tidak', 'jasa']"
wes karuane ngunu bu ojok ngurusi negoro malah ruwet mbok urus,wes karuane ngunu ibu ojok ngurusi negoro malah ruwet mbok urus,"['wes', 'karuane', 'ngunu', 'ibu', 'ojok', 'ngurusi', 'negoro', 'malah', 'ruwet', 'mbok', 'urus']","['wes', 'karuane', 'ngunu', 'ibu', 'ojok', 'ngurusi', 'negoro', 'malah', 'ruwet', 'mbok', 'urus']","['wes', 'karuane', 'ngunu', 'ibu', 'ojok', 'ngurusi', 'negoro', 'malah', 'ruwet', 'mbok', 'urus']"
apa yg dibangakan dri sri mulyani ini selama jdi menkeu,apa yang dibangakan dari sri mulyani ini selama jadi menkeu,"['apa', 'yang', 'dibangakan', 'dari', 'sri', 'mulyani', 'ini', 'selama', 'jadi', 'menkeu']","['apa', 'dibangakan', 'sri', 'mulyani', 'selama', 'jadi', 'menkeu']","['apa', 'dibangakan', 'sri', 'mulyani', 'lama', 'jadi', 'menkeu']"
kang palak,kang palak,"['kang', 'palak']","['kang', 'palak']","['kang', 'palak']"
tukang palak,tukang palak,"['tukang', 'palak']","['tukang', 'palak']","['tukang', 'palak']"
preman pensiun ,preman pensiun,"['preman', 'pensiun']","['preman', 'pensiun']","['preman', 'pensiun']"
ratu pajak lg berlibur ,ratu pajak lagi berlibur,"['ratu', 'pajak', 'lagi', 'berlibur']","['ratu', 'pajak', 'berlibur']","['ratu', 'pajak', 'libur']"
penghisap darah rakyat miskin,penghisap darah rakyat miskin,"['penghisap', 'darah', 'rakyat', 'miskin']","['penghisap', 'darah', 'rakyat', 'miskin']","['penghisap', 'darah', 'rakyat', 'miskin']"
tabungan nya udah banyak ya bu hasil meres keringat rakyat sat nya healing kita healing,tabungan nya sudah banyak ya ibu hasil meres keringat rakyat sat nya healing kita healing,"['tabungan', 'nya', 'sudah', 'banyak', 'ya', 'ibu', 'hasil', 'meres', 'keringat', 'rakyat', 'sat', 'nya', 'healing', 'kita', 'healing']","['tabungan', 'nya', 'banyak', 'ibu', 'hasil', 'meres', 'keringat', 'rakyat', 'sat', 'nya', 'healing', 'healing']","['tabung', 'nya', 'banyak', 'ibu', 'hasil', 'meres', 'keringat', 'rakyat', 'sat', 'nya', 'healing', 'healing']"
ketus dan menyusahkan rakyat ga ada yg kagum bu malah bikin kesel,ketus dan menyusahkan rakyat tidak ada yang kagum ibu malah bikin kesal,"['ketus', 'dan', 'menyusahkan', 'rakyat', 'tidak', 'ada', 'yang', 'kagum', 'ibu', 'malah', 'bikin', 'kesal']","['ketus', 'menyusahkan', 'rakyat', 'tidak', 'kagum', 'ibu', 'malah', 'bikin', 'kesal']","['ketus', 'susah', 'rakyat', 'tidak', 'kagum', 'ibu', 'malah', 'bikin', 'kesal']"
liburan aja buk sebelum di pangil jaksa agung ,liburan saja ibu sebelum di pangil jaksa agung,"['liburan', 'saja', 'ibu', 'sebelum', 'di', 'pangil', 'jaksa', 'agung']","['liburan', 'ibu', 'pangil', 'jaksa', 'agung']","['libur', 'ibu', 'pangil', 'jaksa', 'agung']"
liburlah nikmati hasil nguras negara tar kita tagih di akhirat,liburlah nikmati hasil nguras negara nanti kita tagih di akhirat,"['liburlah', 'nikmati', 'hasil', 'nguras', 'negara', 'nanti', 'kita', 'tagih', 'di', 'akhirat']","['liburlah', 'nikmati', 'hasil', 'nguras', 'negara', 'tagih', 'akhirat']","['libur', 'nikmat', 'hasil', 'nguras', 'negara', 'tagih', 'akhirat']"
wah beneran nih direalisasikan,wah beneran ini direalisasikan,"['wah', 'beneran', 'ini', 'direalisasikan']","['wah', 'beneran', 'direalisasikan']","['wah', 'beneran', 'realisasi']"
wow serius kah ini,wow serius kah ini,"['wow', 'serius', 'kah', 'ini']","['wow', 'serius']","['wow', 'serius']"
harus terbiasa nih nanti,harus terbiasa ini nanti,"['harus', 'terbiasa', 'ini', 'nanti']",['terbiasa'],['biasa']
emak siap keser nih ngitung rupiahnya ,ibu siap keser ini ngitung rupiahnya,"['ibu', 'siap', 'keser', 'ini', 'ngitung', 'rupiahnya']","['ibu', 'siap', 'keser', 'ngitung', 'rupiahnya']","['ibu', 'siap', 'keser', 'ngitung', 'rupiah']"
wah iya baru tau beritanya nih,wah iya baru tau beritanya ini,"['wah', 'iya', 'baru', 'tau', 'beritanya', 'ini']","['wah', 'iya', 'baru', 'tau', 'beritanya']","['wah', 'iya', 'baru', 'tau', 'berita']"
pasti bakal ada pro kontra ya tapi semoga yang terbaik untuk bangsa indonesia ,pasti akan ada pro kontra ya tapi semoga yang terbaik untuk bangsa indonesia,"['pasti', 'akan', 'ada', 'pro', 'kontra', 'ya', 'tapi', 'semoga', 'yang', 'terbaik', 'untuk', 'bangsa', 'indonesia']","['pro', 'kontra', 'semoga', 'terbaik', 'bangsa', 'indonesia']","['pro', 'kontra', 'moga', 'baik', 'bangsa', 'indonesia']"
bagus ni pak menteri gk takut sama golongan atas,bagus ini bapak menteri tidak takut sama golongan atas,"['bagus', 'ini', 'bapak', 'menteri', 'tidak', 'takut', 'sama', 'golongan', 'atas']","['bagus', 'bapak', 'menteri', 'tidak', 'takut', 'sama', 'golongan', 'atas']","['bagus', 'bapak', 'menteri', 'tidak', 'takut', 'sama', 'golong', 'atas']"
jaga diri kesehatan ya pak untuk bapak keluarga ,jaga diri kesehatan ya bapak untuk bapak keluarga,"['jaga', 'diri', 'kesehatan', 'ya', 'bapak', 'untuk', 'bapak', 'keluarga']","['jaga', 'diri', 'kesehatan', 'bapak', 'bapak', 'keluarga']","['jaga', 'diri', 'sehat', 'bapak', 'bapak', 'keluarga']"
smoga slu dalam lindungan alah swt amin,smoga slu dalam lindungan alah swt amin,"['smoga', 'slu', 'dalam', 'lindungan', 'alah', 'swt', 'amin']","['smoga', 'slu', 'lindungan', 'alah', 'swt', 'amin']","['smoga', 'slu', 'lindung', 'alah', 'swt', 'amin']"
ini baru namanya kerja,ini baru namanya kerja,"['ini', 'baru', 'namanya', 'kerja']","['baru', 'namanya', 'kerja']","['baru', 'nama', 'kerja']"
tagih aja pak,tagih saja bapak,"['tagih', 'saja', 'bapak']","['tagih', 'bapak']","['tagih', 'bapak']"
waw ,waw,['waw'],['waw'],['waw']
tenang pak dikawal rakyat indonesia ko nanti klo susah ditagih rakyat silahturahmi ,tenang bapak dikawal rakyat indonesia ko nanti kalau susah ditagih rakyat silahturahmi,"['tenang', 'bapak', 'dikawal', 'rakyat', 'indonesia', 'ko', 'nanti', 'kalau', 'susah', 'ditagih', 'rakyat', 'silahturahmi']","['tenang', 'bapak', 'dikawal', 'rakyat', 'indonesia', 'ko', 'kalau', 'susah', 'ditagih', 'rakyat', 'silahturahmi']","['tenang', 'bapak', 'kawal', 'rakyat', 'indonesia', 'ko', 'kalau', 'susah', 'tagih', 'rakyat', 'silahturahmi']"
sehatsehat ya pak,sehatsehat ya bapak,"['sehatsehat', 'ya', 'bapak']","['sehatsehat', 'bapak']","['sehatsehat', 'bapak']"
respect pa sama kebijakanya kami tungu gebrakan selanjutnya,hormat bapak sama kebijakanya kami tungu gebrakan selanjutnya,"['hormat', 'bapak', 'sama', 'kebijakanya', 'kami', 'tungu', 'gebrakan', 'selanjutnya']","['hormat', 'bapak', 'sama', 'kebijakanya', 'tungu', 'gebrakan', 'selanjutnya']","['hormat', 'bapak', 'sama', 'kebijakanya', 'tungu', 'gebrak', 'lanjut']"
hatihati pak mudahmudahan tdk dicopot ,hatihati bapak mudahmudahan tidak dicopot,"['hatihati', 'bapak', 'mudahmudahan', 'tidak', 'dicopot']","['hatihati', 'bapak', 'mudahmudahan', 'tidak', 'dicopot']","['hatihati', 'bapak', 'mudahmudahan', 'tidak', 'copot']"
nah slm ini sm ngapain aja ada potensi peneriman negara sgt banyak kok dibiarim,nah slm ini sama apa saja ada potensi peneriman negara sekali banyak kok dibiarim,"['nah', 'slm', 'ini', 'sama', 'apa', 'saja', 'ada', 'potensi', 'peneriman', 'negara', 'sekali', 'banyak', 'kok', 'dibiarim']","['nah', 'slm', 'sama', 'apa', 'potensi', 'peneriman', 'negara', 'sekali', 'banyak', 'kok', 'dibiarim']","['nah', 'slm', 'sama', 'apa', 'potensi', 'rim', 'negara', 'sekali', 'banyak', 'kok', 'dibiarim']"
nah kemaren kemana aja itu menteri sblmny naikin pajak rakyat buat nambahin income negra tp yg besar ngk berani nagih ,nah kemarin kemana saja itu menteri sblmny naikin pajak rakyat buat nambahin income negra tapi yang besar tidak berani nagih,"['nah', 'kemarin', 'kemana', 'saja', 'itu', 'menteri', 'sblmny', 'naikin', 'pajak', 'rakyat', 'buat', 'nambahin', 'income', 'negra', 'tapi', 'yang', 'besar', 'tidak', 'berani', 'nagih']","['nah', 'kemarin', 'menteri', 'sblmny', 'naikin', 'pajak', 'rakyat', 'buat', 'nambahin', 'income', 'negra', 'besar', 'tidak', 'berani', 'nagih']","['nah', 'kemarin', 'menteri', 'sblmny', 'naikin', 'pajak', 'rakyat', 'buat', 'nambahin', 'income', 'negra', 'besar', 'tidak', 'berani', 'nagih']"
betul pak gencet dulu para konglomerat itu kalau mereka sudah tertib pajak baru rakyat rakyat biasa yang di tertibkan pajaknya,betul bapak gencet dulu para konglomerat itu kalau mereka sudah tertib pajak baru rakyat rakyat biasa yang di tertibkan pajaknya,"['betul', 'bapak', 'gencet', 'dulu', 'para', 'konglomerat', 'itu', 'kalau', 'mereka', 'sudah', 'tertib', 'pajak', 'baru', 'rakyat', 'rakyat', 'biasa', 'yang', 'di', 'tertibkan', 'pajaknya']","['betul', 'bapak', 'gencet', 'dulu', 'konglomerat', 'kalau', 'tertib', 'pajak', 'baru', 'rakyat', 'rakyat', 'biasa', 'tertibkan', 'pajaknya']","['betul', 'bapak', 'gencet', 'dulu', 'konglomerat', 'kalau', 'tertib', 'pajak', 'baru', 'rakyat', 'rakyat', 'biasa', 'tertib', 'pajak']"
konglomerat ga bayar pajakjangan hidup di indonesia dongitu kata buk sri mulyani,konglomerat tidak bayar pajakjangan hidup di indonesia dongitu kata ibu sri mulyani,"['konglomerat', 'tidak', 'bayar', 'pajakjangan', 'hidup', 'di', 'indonesia', 'dongitu', 'kata', 'ibu', 'sri', 'mulyani']","['konglomerat', 'tidak', 'bayar', 'pajakjangan', 'hidup', 'indonesia', 'dongitu', 'kata', 'ibu', 'sri', 'mulyani']","['konglomerat', 'tidak', 'bayar', 'pajakjangan', 'hidup', 'indonesia', 'dongitu', 'kata', 'ibu', 'sri', 'mulyani']"
berita positif lanjutkan bapak,berita positif lanjutkan bapak,"['berita', 'positif', 'lanjutkan', 'bapak']","['berita', 'positif', 'lanjutkan', 'bapak']","['berita', 'positif', 'lanjut', 'bapak']"
konglo ya pak jangan umkm mulu yg dikasih surat cinta ,konglo ya bapak jangan umkm selalu yang dikasih surat cinta,"['konglo', 'ya', 'bapak', 'jangan', 'umkm', 'selalu', 'yang', 'dikasih', 'surat', 'cinta']","['konglo', 'bapak', 'jangan', 'umkm', 'selalu', 'dikasih', 'surat', 'cinta']","['konglo', 'bapak', 'jangan', 'umkm', 'selalu', 'kasih', 'surat', 'cinta']"
apakah salah satunya haji terkaya dan terkenal di kalsel itu ,apakah salah satunya haji terkaya dan terkenal di kalsel itu,"['apakah', 'salah', 'satunya', 'haji', 'terkaya', 'dan', 'terkenal', 'di', 'kalsel', 'itu']","['salah', 'satunya', 'haji', 'terkaya', 'terkenal', 'kalsel']","['salah', 'satu', 'haji', 'kaya', 'kenal', 'kalsel']"
nah gini dong peras itu yang bagian atas yang kelewat makmurjangan peras rakyat yang gak makmurudh bener srimulyani dcopotlintah darat ,nah gini dong peras itu yang bagian atas yang kelewat makmurjangan peras rakyat yang tidak makmurudh benar srimulyani dcopotlintah darat,"['nah', 'gini', 'dong', 'peras', 'itu', 'yang', 'bagian', 'atas', 'yang', 'kelewat', 'makmurjangan', 'peras', 'rakyat', 'yang', 'tidak', 'makmurudh', 'benar', 'srimulyani', 'dcopotlintah', 'darat']","['nah', 'gini', 'dong', 'peras', 'bagian', 'atas', 'kelewat', 'makmurjangan', 'peras', 'rakyat', 'tidak', 'makmurudh', 'benar', 'srimulyani', 'dcopotlintah', 'darat']","['nah', 'gin', 'dong', 'peras', 'bagi', 'atas', 'lewat', 'makmurjangan', 'peras', 'rakyat', 'tidak', 'makmurudh', 'benar', 'srimulyani', 'dcopotlintah', 'darat']"
kalau mereka punya pt paling ujungujungnya phk ,kalau mereka punya pt paling ujungujungnya phk,"['kalau', 'mereka', 'punya', 'pt', 'paling', 'ujungujungnya', 'phk']","['kalau', 'punya', 'pt', 'paling', 'ujungujungnya', 'phk']","['kalau', 'punya', 'pt', 'paling', 'ujungujungnya', 'phk']"
nah gitu pak jangan rakyat saja yg dikejar kejar bayar pajak,nah gitu bapak jangan rakyat saja yang dikejar kejar bayar pajak,"['nah', 'gitu', 'bapak', 'jangan', 'rakyat', 'saja', 'yang', 'dikejar', 'kejar', 'bayar', 'pajak']","['nah', 'gitu', 'bapak', 'jangan', 'rakyat', 'dikejar', 'kejar', 'bayar', 'pajak']","['nah', 'gitu', 'bapak', 'jangan', 'rakyat', 'kejar', 'kejar', 'bayar', 'pajak']"
siapa itu konglomerat nya gila pajaknya luar biasa,siapa itu konglomerat nya gila pajaknya luar biasa,"['siapa', 'itu', 'konglomerat', 'nya', 'gila', 'pajaknya', 'luar', 'biasa']","['siapa', 'konglomerat', 'nya', 'gila', 'pajaknya', 'luar', 'biasa']","['siapa', 'konglomerat', 'nya', 'gila', 'pajak', 'luar', 'biasa']"
mantan ngapain ajah sampai kami rakyat mau makan pun susah ,mantan apa ajah sampai kami rakyat mau makan pun susah,"['mantan', 'apa', 'ajah', 'sampai', 'kami', 'rakyat', 'mau', 'makan', 'pun', 'susah']","['mantan', 'apa', 'ajah', 'rakyat', 'mau', 'makan', 'susah']","['mantan', 'apa', 'ajah', 'rakyat', 'mau', 'makan', 'susah']"
secerca harapantiap hari dengar berita baik skrg smnjak ad bapak,secerca harapantiap hari dengar berita baik sekarang smnjak ada bapak,"['secerca', 'harapantiap', 'hari', 'dengar', 'berita', 'baik', 'sekarang', 'smnjak', 'ada', 'bapak']","['secerca', 'harapantiap', 'hari', 'dengar', 'berita', 'baik', 'sekarang', 'smnjak', 'bapak']","['cerca', 'harapantiap', 'hari', 'dengar', 'berita', 'baik', 'sekarang', 'smnjak', 'bapak']"
konglomerat aja nungak pajakhadeh,konglomerat saja nungak pajakhadeh,"['konglomerat', 'saja', 'nungak', 'pajakhadeh']","['konglomerat', 'nungak', 'pajakhadeh']","['konglomerat', 'nungak', 'pajakhadeh']"
kasih nama atau inisial pak biar didatangi netizen ,kasih nama atau inisial bapak biar didatangi netizen,"['kasih', 'nama', 'atau', 'inisial', 'bapak', 'biar', 'didatangi', 'netizen']","['kasih', 'nama', 'inisial', 'bapak', 'biar', 'didatangi', 'netizen']","['kasih', 'nama', 'inisial', 'bapak', 'biar', 'datang', 'netizen']"
